<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,160506,463.25,463.75,463.25,463.75,74916
WC,160509,463.75,463.75,456.50,456.50,68615
WC,160510,456.50,461.25,456.50,461.25,91428
WC,160511,461.25,461.25,459.00,459.00,91428
WC,160512,459.00,468.00,459.00,468.00,66191
WC,160513,468.00,474.75,468.00,474.75,76197
WC,160516,474.75,474.75,474.75,474.75,76197
WC,160517,474.75,481.75,474.75,481.75,74128
WC,160518,481.75,481.75,480.00,480.00,74128
WC,160519,480.00,480.00,468.75,468.75,89560
WC,160520,468.75,468.75,467.75,467.75,89560
WC,160523,467.75,467.75,462.00,462.00,62463
WC,160524,462.00,464.00,462.00,464.00,67393
WC,160525,464.00,466.00,464.00,466.00,67393
WC,160526,466.00,481.25,466.00,481.25,100179
WC,160527,481.25,481.50,481.25,481.50,100179
WC,160530,481.50,481.50,481.50,481.50,0
WC,160531,481.50,481.50,464.50,464.50,99987
WC,160601,464.50,473.75,464.50,473.75,99987
WC,160602,473.75,485.50,473.75,485.50,92411
WC,160603,485.50,497.25,485.50,497.25,113652
WC,160606,497.25,507.50,497.25,507.50,116771
WC,160607,507.50,509.00,507.50,509.00,116771
WC,160608,509.00,519.50,509.00,519.50,138771
WC,160609,519.50,519.50,510.25,510.25,138771
WC,160610,510.25,510.25,495.00,495.00,127494
WC,160613,495.00,495.00,491.25,491.25,127494
WC,160614,491.25,491.25,485.00,485.00,107395
WC,160615,485.00,485.00,477.50,477.50,105522
WC,160616,477.50,477.50,472.50,472.50,74692
WC,160617,472.50,481.25,472.50,481.25,67811
WC,160620,481.25,481.25,473.00,473.00,62549
WC,160621,473.00,473.00,458.50,458.50,65922
WC,160622,458.50,458.75,458.50,458.75,65922
WC,160623,472.25,472.25,465.75,465.75,61271
WC,160624,465.75,465.75,465.00,465.00,84548
WC,160627,465.00,465.00,458.25,458.25,84548
WC,160628,458.25,458.25,457.25,457.25,66423
WC,160629,457.25,457.25,444.50,444.50,88023
WC,160630,444.50,445.50,444.50,445.50,112073
WC,160701,445.50,445.50,430.25,430.25,112073
WC,160704,416.25,416.25,416.25,416.25,0
WC,160705,430.25,433.50,430.25,433.50,85531
WC,160706,433.50,433.50,428.50,428.50,81232
WC,160707,428.50,428.50,425.50,425.50,70740
WC,160708,425.50,435.00,425.50,435.00,74229
WC,160711,435.00,435.00,430.50,430.50,74229
WC,160712,430.50,438.50,430.50,438.50,77329
WC,160713,438.50,439.75,438.50,439.75,78670
WC,160714,439.75,439.75,434.00,434.00,78670
WC,160715,434.00,434.00,424.75,424.75,76867
WC,160718,424.75,429.50,424.75,429.50,76867
WC,160719,429.50,429.50,418.00,418.00,62265
WC,160720,418.00,418.00,413.00,413.00,78390
WC,160721,413.00,417.75,413.00,417.75,78390
WC,160722,417.75,425.25,417.75,425.25,82418
WC,160725,425.25,429.00,425.25,429.00,89270
WC,160726,429.00,429.00,415.00,415.00,89270
WC,160727,415.00,415.00,414.75,414.75,64182
WC,160728,414.75,414.75,410.25,410.25,56838
